Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87113,2022,6,28,14.7,1,Y
IDCJAC0010,87113,2022,6,29,12.1,1,Y
IDCJAC0010,87113,2022,6,30,14.7,1,Y
IDCJAC0010,87113,2022,7,1,13.9,1,Y
IDCJAC0010,87113,2022,7,2,12.9,1,Y
IDCJAC0010,87113,2022,7,3,12.5,1,Y
IDCJAC0010,87113,2022,7,4,14,1,Y
IDCJAC0010,87113,2022,7,5,14.5,1,Y
IDCJAC0010,87113,2022,7,6,14.2,1,Y
IDCJAC0010,87113,2022,7,7,13.8,1,Y
IDCJAC0010,87113,2022,7,8,13.2,1,Y
IDCJAC0010,87113,2022,7,9,13.5,1,Y
IDCJAC0010,87113,2022,7,10,11.6,1,Y
IDCJAC0010,87113,2022,7,11,15,1,Y
IDCJAC0010,87113,2022,7,12,12.3,1,Y
IDCJAC0010,87113,2022,7,13,12.9,1,Y
IDCJAC0010,87113,2022,7,14,13.2,1,Y
IDCJAC0010,87113,2022,7,15,14.5,1,Y
IDCJAC0010,87113,2022,7,16,13.9,1,Y
IDCJAC0010,87113,2022,7,17,16.4,1,Y
IDCJAC0010,87113,2022,7,18,11.7,1,Y
IDCJAC0010,87113,2022,7,19,11.5,1,Y
IDCJAC0010,87113,2022,7,20,11.9,1,Y
IDCJAC0010,87113,2022,7,21,12.4,1,Y
IDCJAC0010,87113,2022,7,22,17.5,1,Y
IDCJAC0010,87113,2022,7,23,12.8,1,Y
IDCJAC0010,87113,2022,7,24,18.5,1,Y
IDCJAC0010,87113,2022,7,25,14.3,1,Y
IDCJAC0010,87113,2022,7,26,12.4,1,Y
IDCJAC0010,87113,2022,7,27,15.1,1,Y
IDCJAC0010,87113,2022,7,28,13.5,1,Y
IDCJAC0010,87113,2022,7,29,13.1,1,Y
IDCJAC0010,87113,2022,7,30,14.3,1,Y
IDCJAC0010,87113,2022,7,31,14,1,Y
IDCJAC0010,87113,2022,8,1,16.2,1,Y
IDCJAC0010,87113,2022,8,2,17.4,1,Y
IDCJAC0010,87113,2022,8,3,18.8,1,Y
IDCJAC0010,87113,2022,8,4,18.6,1,Y
IDCJAC0010,87113,2022,8,5,16.2,1,Y
IDCJAC0010,87113,2022,8,6,14.7,1,Y
IDCJAC0010,87113,2022,8,7,15.3,1,Y
IDCJAC0010,87113,2022,8,8,13.9,1,Y
IDCJAC0010,87113,2022,8,9,13.8,1,Y
IDCJAC0010,87113,2022,8,10,15.2,1,Y
IDCJAC0010,87113,2022,8,11,15.7,1,Y
IDCJAC0010,87113,2022,8,12,13.1,1,Y
IDCJAC0010,87113,2022,8,13,15.9,1,Y
IDCJAC0010,87113,2022,8,14,15.2,1,Y
IDCJAC0010,87113,2022,8,15,15.1,1,Y
IDCJAC0010,87113,2022,8,16,15.1,1,Y
IDCJAC0010,87113,2022,8,17,16.6,1,Y
IDCJAC0010,87113,2022,8,18,17.4,1,Y
IDCJAC0010,87113,2022,8,19,15.7,1,Y
IDCJAC0010,87113,2022,8,20,13.8,1,Y
IDCJAC0010,87113,2022,8,21,15,1,Y
IDCJAC0010,87113,2022,8,22,19.1,1,Y
IDCJAC0010,87113,2022,8,23,12.5,1,Y
IDCJAC0010,87113,2022,8,24,11.8,1,Y
IDCJAC0010,87113,2022,8,25,15.2,1,Y
IDCJAC0010,87113,2022,8,26,13.2,1,Y
IDCJAC0010,87113,2022,8,27,15.9,1,Y
IDCJAC0010,87113,2022,8,28,20.3,1,Y
IDCJAC0010,87113,2022,8,29,15.4,1,Y
IDCJAC0010,87113,2022,8,30,15.4,1,Y
IDCJAC0010,87113,2022,8,31,15.8,1,Y
IDCJAC0010,87113,2022,9,1,15.9,1,N
IDCJAC0010,87113,2022,9,2,13.1,1,N
IDCJAC0010,87113,2022,9,3,14.9,1,N
IDCJAC0010,87113,2022,9,4,13.7,1,N
IDCJAC0010,87113,2022,9,5,14.9,1,N
IDCJAC0010,87113,2022,9,6,15.3,1,N
IDCJAC0010,87113,2022,9,7,17.9,1,N
IDCJAC0010,87113,2022,9,8,16.6,1,N
IDCJAC0010,87113,2022,9,9,20.6,1,N
IDCJAC0010,87113,2022,9,10,15.2,1,N
IDCJAC0010,87113,2022,9,11,17,1,N
IDCJAC0010,87113,2022,9,12,13.8,1,N
IDCJAC0010,87113,2022,9,13,13.2,1,N
IDCJAC0010,87113,2022,9,14,18.4,1,N
IDCJAC0010,87113,2022,9,15,17,1,N
IDCJAC0010,87113,2022,9,16,17.9,1,N
IDCJAC0010,87113,2022,9,17,14.8,1,N
IDCJAC0010,87113,2022,9,18,17.8,1,N
IDCJAC0010,87113,2022,9,19,15.9,1,N
IDCJAC0010,87113,2022,9,20,19.6,1,N
IDCJAC0010,87113,2022,9,21,17.4,1,N
IDCJAC0010,87113,2022,9,22,18.6,1,N
IDCJAC0010,87113,2022,9,23,14.9,1,N
IDCJAC0010,87113,2022,9,24,15.8,1,N
IDCJAC0010,87113,2022,9,25,18.4,1,N
IDCJAC0010,87113,2022,9,26,16.2,1,N
IDCJAC0010,87113,2022,9,27,16.1,1,N
IDCJAC0010,87113,2022,9,28,15.4,1,N
IDCJAC0010,87113,2022,9,29,16.5,1,N
IDCJAC0010,87113,2022,9,30,18.1,1,N
IDCJAC0010,87113,2022,10,1,17.6,1,N
IDCJAC0010,87113,2022,10,2,18.1,1,N
IDCJAC0010,87113,2022,10,3,19.1,1,N
IDCJAC0010,87113,2022,10,4,14.5,1,N
IDCJAC0010,87113,2022,10,5,13.8,1,N
IDCJAC0010,87113,2022,10,6,21.7,1,N
IDCJAC0010,87113,2022,10,7,20.8,1,Y
IDCJAC0010,87113,2022,10,8,15.8,1,N
IDCJAC0010,87113,2022,10,9,15.4,1,N
IDCJAC0010,87113,2022,10,10,16.8,1,N
IDCJAC0010,87113,2022,10,11,22.3,1,N
IDCJAC0010,87113,2022,10,12,19.5,1,N
IDCJAC0010,87113,2022,10,13,16.5,1,N
IDCJAC0010,87113,2022,10,14,18.3,1,N
IDCJAC0010,87113,2022,10,15,19.7,1,N
IDCJAC0010,87113,2022,10,16,16.7,1,N
IDCJAC0010,87113,2022,10,17,16.5,1,N
IDCJAC0010,87113,2022,10,18,19.4,1,N
IDCJAC0010,87113,2022,10,19,21.6,1,N
IDCJAC0010,87113,2022,10,20,19.8,1,N
IDCJAC0010,87113,2022,10,21,24.2,1,N
IDCJAC0010,87113,2022,10,22,19.8,1,N
IDCJAC0010,87113,2022,10,23,19,1,N
IDCJAC0010,87113,2022,10,24,17.1,1,N
IDCJAC0010,87113,2022,10,25,22.9,1,N
IDCJAC0010,87113,2022,10,26,20.5,1,N
IDCJAC0010,87113,2022,10,27,18.9,1,N
IDCJAC0010,87113,2022,10,28,15.4,1,N
IDCJAC0010,87113,2022,10,29,17.3,1,N
IDCJAC0010,87113,2022,10,30,21.6,1,N
IDCJAC0010,87113,2022,10,31,19.2,1,N
IDCJAC0010,87113,2022,11,1,13.8,1,Y
IDCJAC0010,87113,2022,11,2,15.4,1,Y
IDCJAC0010,87113,2022,11,3,15.1,1,Y
IDCJAC0010,87113,2022,11,4,17.9,1,Y
IDCJAC0010,87113,2022,11,5,21.4,1,Y
IDCJAC0010,87113,2022,11,6,25.5,1,Y
IDCJAC0010,87113,2022,11,7,25.7,1,Y
IDCJAC0010,87113,2022,11,8,26.4,1,Y
IDCJAC0010,87113,2022,11,9,29.4,1,Y
IDCJAC0010,87113,2022,11,10,25.8,1,Y
IDCJAC0010,87113,2022,11,11,17.6,1,Y
IDCJAC0010,87113,2022,11,12,18.9,1,Y
IDCJAC0010,87113,2022,11,13,25.6,1,Y
IDCJAC0010,87113,2022,11,14,17,1,Y
IDCJAC0010,87113,2022,11,15,13.8,1,Y
IDCJAC0010,87113,2022,11,16,15.2,1,Y
IDCJAC0010,87113,2022,11,17,17.5,1,Y
IDCJAC0010,87113,2022,11,18,21.3,1,Y
IDCJAC0010,87113,2022,11,19,21.7,1,Y
IDCJAC0010,87113,2022,11,20,19.9,1,Y
IDCJAC0010,87113,2022,11,21,13.7,1,Y
IDCJAC0010,87113,2022,11,22,18.3,1,Y
IDCJAC0010,87113,2022,11,23,18.9,1,Y
IDCJAC0010,87113,2022,11,24,19.6,1,Y
IDCJAC0010,87113,2022,11,25,20.2,1,Y
IDCJAC0010,87113,2022,11,26,27.4,1,Y
IDCJAC0010,87113,2022,11,27,20.3,1,Y
IDCJAC0010,87113,2022,11,28,19.7,1,Y
IDCJAC0010,87113,2022,11,29,19,1,Y
IDCJAC0010,87113,2022,11,30,20,1,Y
IDCJAC0010,87113,2022,12,1,19.7,1,Y
IDCJAC0010,87113,2022,12,2,22.1,1,Y
IDCJAC0010,87113,2022,12,3,30.7,1,Y
IDCJAC0010,87113,2022,12,4,34.5,1,Y
IDCJAC0010,87113,2022,12,5,19.2,1,Y
IDCJAC0010,87113,2022,12,6,20.6,1,Y
IDCJAC0010,87113,2022,12,7,20.8,1,Y
IDCJAC0010,87113,2022,12,8,18,1,Y
IDCJAC0010,87113,2022,12,9,18.3,1,Y
IDCJAC0010,87113,2022,12,10,24.1,1,Y
IDCJAC0010,87113,2022,12,11,30.2,1,Y
IDCJAC0010,87113,2022,12,12,17.6,1,Y
IDCJAC0010,87113,2022,12,13,18.2,1,Y
IDCJAC0010,87113,2022,12,14,17.6,1,Y
IDCJAC0010,87113,2022,12,15,17.8,1,Y
IDCJAC0010,87113,2022,12,16,20.2,1,Y
IDCJAC0010,87113,2022,12,17,21,1,Y
IDCJAC0010,87113,2022,12,18,21.9,1,Y
IDCJAC0010,87113,2022,12,19,24.5,1,Y
IDCJAC0010,87113,2022,12,20,24.9,1,Y
IDCJAC0010,87113,2022,12,21,25.9,1,Y
IDCJAC0010,87113,2022,12,22,24.3,1,Y
IDCJAC0010,87113,2022,12,23,24.6,1,Y
IDCJAC0010,87113,2022,12,24,23.9,1,Y
IDCJAC0010,87113,2022,12,25,30.4,1,Y
IDCJAC0010,87113,2022,12,26,25.3,1,Y
IDCJAC0010,87113,2022,12,27,38.8,1,Y
IDCJAC0010,87113,2022,12,28,24.9,1,Y
IDCJAC0010,87113,2022,12,29,20.2,1,Y
IDCJAC0010,87113,2022,12,30,27.6,1,Y
IDCJAC0010,87113,2022,12,31,29.1,1,Y
