Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,81123,2022,9,21,18,1,Y
IDCJAC0010,81123,2022,9,22,20.2,1,Y
IDCJAC0010,81123,2022,9,23,21.6,1,Y
IDCJAC0010,81123,2022,9,24,15.7,1,Y
IDCJAC0010,81123,2022,9,25,16.9,1,Y
IDCJAC0010,81123,2022,9,26,12.1,1,Y
IDCJAC0010,81123,2022,9,27,14.9,1,Y
IDCJAC0010,81123,2022,9,28,17,1,Y
IDCJAC0010,81123,2022,9,29,17.3,1,Y
IDCJAC0010,81123,2022,9,30,19.7,1,Y
IDCJAC0010,81123,2022,10,1,19.9,1,Y
IDCJAC0010,81123,2022,10,2,21.1,1,Y
IDCJAC0010,81123,2022,10,3,21.6,1,Y
IDCJAC0010,81123,2022,10,4,19.6,1,Y
IDCJAC0010,81123,2022,10,5,13.1,1,Y
IDCJAC0010,81123,2022,10,6,16.7,1,Y
IDCJAC0010,81123,2022,10,7,19.9,1,Y
IDCJAC0010,81123,2022,10,8,16.1,1,Y
IDCJAC0010,81123,2022,10,9,16.5,1,Y
IDCJAC0010,81123,2022,10,10,18.4,1,Y
IDCJAC0010,81123,2022,10,11,19.5,1,Y
IDCJAC0010,81123,2022,10,12,16.3,1,Y
IDCJAC0010,81123,2022,10,13,14.5,1,Y
IDCJAC0010,81123,2022,10,14,17.1,1,Y
IDCJAC0010,81123,2022,10,15,16.7,1,Y
IDCJAC0010,81123,2022,10,16,18.9,1,Y
IDCJAC0010,81123,2022,10,17,19.3,1,Y
IDCJAC0010,81123,2022,10,18,19.5,1,Y
IDCJAC0010,81123,2022,10,19,23,1,Y
IDCJAC0010,81123,2022,10,20,26.4,1,Y
IDCJAC0010,81123,2022,10,21,24,1,Y
IDCJAC0010,81123,2022,10,22,24.6,1,Y
IDCJAC0010,81123,2022,10,23,21.7,1,Y
IDCJAC0010,81123,2022,10,24,17.4,1,Y
IDCJAC0010,81123,2022,10,25,23.6,1,Y
IDCJAC0010,81123,2022,10,26,18.9,1,Y
